readcode,medcode,readterm,icdcode
B57..00,35053,secondary malig neop of respiratory and digestive systems,C78
B57..11,6471,metastases of respiratory and/or digestive systems,C78
B57..12,24301,secondary carcinoma of respiratory and/or digestive systems,C78
B570.00,4137,secondary malignant neoplasm of lung,C78
B571.00,51551,secondary malignant neoplasm of mediastinum,C78
B572.00,16213,secondary malignant neoplasm of pleura,C78
B573.00,62584,secondary malignant neoplasm of other respiratory organs,C78
B574.00,64680,secondary malignant neoplasm of small intestine and duodenum,C78
B574000,55946,secondary malignant neoplasm of duodenum,C78
B574200,99511,secondary malignant neoplasm of ileum,C78
B574z00,70026,secondary malig neop of small intestine or duodenum nos,C78
B575.00,44529,secondary malignant neoplasm of large intestine and rectum,C78
B575000,28727,secondary malignant neoplasm of colon,C78
B575100,62909,secondary malignant neoplasm of rectum,C78
B575z00,36200,secondary malig neop of large intestine or rectum nos,C78
B576.00,67396,secondary malig neop of retroperitoneum and peritoneum,C78
B576000,35364,secondary malignant neoplasm of retroperitoneum,C78
B576100,27391,secondary malignant neoplasm of peritoneum,C78
B576200,8154,malignant ascites,C78
B576z00,97672,secondary malig neop of retroperitoneum or peritoneum nos,C78
B577.00,15103,secondary malignant neoplasm of liver,C78
B577.11,4403,liver metastases,C78
B57y.00,56345,secondary malignant neoplasm of other digestive organ,C78
B57z.00,66083,secondary malig neop of respiratory or digestive system nos,C78
B58..00,5842,secondary malignant neoplasm of other specified sites,C79
B58..11,27651,secondary carcinoma of other specified sites,C79
B580.00,1952,secondary malignant neoplasm of kidney,C79
B581.00,73213,secondary malignant neoplasm of other urinary organs,C79
B581000,60134,secondary malignant neoplasm of ureter,C79
B581100,22146,secondary malignant neoplasm of bladder,C79
B581200,53528,secondary malignant neoplasm of urethra,C79
B581z00,62828,secondary malignant neoplasm of other urinary organ nos,C79
B582.00,19945,secondary malignant neoplasm of skin,C79
B582000,43930,secondary malignant neoplasm of skin of head,C79
B582100,100296,secondary malignant neoplasm of skin of face,C79
B582200,35999,secondary malignant neoplasm of skin of neck,C79
B582300,41144,secondary malignant neoplasm of skin of trunk,C79
B582400,63896,secondary malignant neoplasm of skin of shoulder and arm,C79
B582500,48828,secondary malignant neoplasm of skin of hip and leg,C79
B582600,9505,secondary malignant neoplasm of skin of breast,C79
B582z00,55096,secondary malignant neoplasm of skin nos,C79
B583.00,33843,secondary malignant neoplasm of brain and spinal cord,C79
B583000,5198,secondary malignant neoplasm of brain,C79
B583100,38918,secondary malignant neoplasm of spinal cord,C79
B583200,5199,cerebral metastasis,C79
B583z00,59375,secondary malignant neoplasm of brain or spinal cord nos,C79
B584.00,54120,secondary malignant neoplasm of other part of nervous system,C79
B585.00,7654,secondary malignant neoplasm of bone and bone marrow,C79
B585000,18676,pathological fracture due to metastatic bone disease,C79
B586.00,44615,secondary malignant neoplasm of ovary,C79
B587.00,36401,secondary malignant neoplasm of adrenal gland,C79
B58y.00,18616,secondary malignant neoplasm of other specified sites,C79
B58y000,16760,secondary malignant neoplasm of breast,C79
B58y100,55090,secondary malignant neoplasm of uterus,C79
B58y200,73616,secondary malignant neoplasm of cervix uteri,C79
B58y211,97832,secondary cancer of the cervix,C79
B58y300,70736,secondary malignant neoplasm of vagina,C79
B58y400,60335,secondary malignant neoplasm of vulva,C79
B58y411,65490,secondary cancer of the vulva,C79
B58y500,21590,secondary malignant neoplasm of prostate,C79
B58y600,34145,secondary malignant neoplasm of testis,C79
B58y700,49145,secondary malignant neoplasm of penis,C79
B58y900,45824,secondary malignant neoplasm of tongue,C79
B58yz00,22524,secondary malignant neoplasm of other specified site nos,C79
B58z.00,16500,secondary malignant neoplasm of other specified site nos,C79
B59..00,47810,malignant neoplasm of unspecified site,C80
B590.00,13569,disseminated malignancy nos,C79
B590.11,6170,carcinomatosis,C80
B591.00,26034,other malignant neoplasm nos,C80
B592.00,51352,malignant neoplasms of independent (primary) multiple sites,C97
B592X00,65466,kaposi's sarcoma of multiple organs,C46
B593.00,11035,primary malignant neoplasm of unknown site,C80
B594.00,54679,secondary malignant neoplasm of unknown site,C79
B595.00,104324,malignant tumour of unknown origin,C80
B59z.00,54267,malignant neoplasm of unspecified site nos,C80
B59zX00,49525,"kaposi's sarcoma, unspecified",C46
B5y..00,38736,malignant neoplasm of other and unspecified site os,C80
B5z..00,1056,malignant neoplasm of other and unspecified site nos,C80
B6...00,12323,malignant neoplasm of lymphatic and haemopoietic tissue,C96
B6...11,37112,malignant neoplasm of histiocytic tissue,C96
B60..00,41369,lymphosarcoma and reticulosarcoma,C85
B600.00,1481,reticulosarcoma,C83
B600000,60242,reticulosarcoma of unspecified site,C83
B600100,71031,"reticulosarcoma of lymph nodes of head, face and neck",C83
B600300,70374,reticulosarcoma of intra-abdominal lymph nodes,C83
B600700,95058,reticulosarcoma of spleen,C83
B600z00,99240,reticulosarcoma nos,C83
B601.00,27416,lymphosarcoma,C85
B601000,71625,lymphosarcoma of unspecified site,C85
B601100,71238,"lymphosarcoma of lymph nodes of head, face and neck",C85
B601200,62380,lymphosarcoma of intrathoracic lymph nodes,C85
B601300,64670,lymphosarcoma of intra-abdominal lymph nodes,C85
B601500,100352,lymphosarcoma of lymph nodes of inguinal region and leg,C85
B601700,103245,lymphosarcoma of spleen,C83
B601800,104790,lymphosarcoma of lymph nodes of multiple sites,C85
B601z00,63723,lymphosarcoma nos,C85
B602.00,21402,burkitt's lymphoma,C83
B602100,59115,"burkitt's lymphoma of lymph nodes of head, face and neck",C83
B602200,100006,burkitt's lymphoma of intrathoracic lymph nodes,C83
B602300,97577,burkitt's lymphoma of intra-abdominal lymph nodes,C83
B602500,92380,burkitt's lymphoma of lymph nodes of inguinal region and leg,C83
B602z00,71304,burkitt's lymphoma nos,C83
B60y.00,99887,other specified reticulosarcoma or lymphosarcoma,C85
B60z.00,99951,reticulosarcoma or lymphosarcoma nos,C85
B61..00,2462,hodgkin's disease,C81
B61..11,104291,hodgkin lymphoma,C81
B610.00,65489,hodgkin's paragranuloma,C81
B610300,98840,hodgkin's paragranuloma of intra-abdominal lymph nodes,C81
B611.00,44196,hodgkin's granuloma,C81
B611100,98909,"hodgkin's granuloma of lymph nodes of head, face and neck",C81
B612.00,64036,hodgkin's sarcoma,C81
B612400,68039,hodgkin's sarcoma of lymph nodes of axilla and upper limb,C81
B613.00,38939,"hodgkin's disease, lymphocytic-histiocytic predominance",C81
B613000,71142,"hodgkin's, lymphocytic-histiocytic predominance unspec site",C81
B613100,68330,"hodgkin's, lymphocytic-histiocytic pred of head, face, neck",C81
B613200,92245,"hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes",C81
B613300,73532,"hodgkin's, lymphocytic-histiocytic pred intra-abdominal node",C81
B613500,93951,"hodgkin's, lymphocytic-histiocytic pred inguinal and leg",C81
B613600,95338,"hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes",C81
B613700,106911,"hodgkin's, lymphocytic-histiocytic predominance of spleen",C81
B613800,104743,"hodgkin's, lymphocytic-histiocytic pred of multiple sites",C81
B613z00,29876,"hodgkin's, lymphocytic-histiocytic predominance nos",C81
B614.00,29178,"hodgkin's disease, nodular sclerosis",C81
B614000,57225,"hodgkin's disease, nodular sclerosis of unspecified site",C81
B614100,55303,"hodgkin's nodular sclerosis of head, face and neck",C81
B614200,67506,hodgkin's nodular sclerosis of intrathoracic lymph nodes,C81
B614300,61149,hodgkin's nodular sclerosis of intra-abdominal lymph nodes,C81
B614400,65483,hodgkin's nodular sclerosis of lymph nodes of axilla and arm,C81
B614700,105472,"hodgkin's disease, nodular sclerosis of spleen",C81
B614800,19140,hodgkin's nodular sclerosis of lymph nodes of multiple sites,C81
B614z00,63054,"hodgkin's disease, nodular sclerosis nos",C81
B615.00,49605,"hodgkin's disease, mixed cellularity",C81
B615000,97863,"hodgkin's disease, mixed cellularity of unspecified site",C81
B615100,94407,"hodgkin's mixed cellularity of lymph nodes head, face, neck",C81
B615200,58684,hodgkin's mixed cellularity of intrathoracic lymph nodes,C81
B615500,108886,hodgkin's mixed cellularity of lymph nodes inguinal and leg,C81
B615z00,94005,"hodgkin's disease, mixed cellularity nos",C81
B616.00,67703,"hodgkin's disease, lymphocytic depletion",C81
B616000,95049,hodgkin's lymphocytic depletion of unspecified site,C81
B616400,63625,hodgkin's lymphocytic depletion lymph nodes axilla and arm,C81
B616500,110563,hodgkin's lymphocytic depletion lymph nodes inguinal and leg,C81
B616700,101715,"hodgkin's disease, lymphocytic depletion of spleen",C81
B616800,107032,hodgkin's lymphocytic depletion lymph nodes multiple sites,C81
B616z00,101530,"hodgkin's disease, lymphocytic depletion nos",C81
B617.00,104895,nodular lymphocyte predominant hodgkin lymphoma,C81
B618.00,105841,nodular sclerosis classical hodgkin lymphoma,C81
B619.00,108775,mixed cellularity classical hodgkin lymphoma,C81
B61B.00,106597,lymphocyte-rich classical hodgkin lymphoma,C81
B61C.00,104484,other classical hodgkin lymphoma,C81
B61z.00,53397,hodgkin's disease nos,C81
B61z.11,106349,hodgkin lymphoma nos,C81
B61z000,61662,"hodgkin's disease nos, unspecified site",C81
B61z100,59778,"hodgkin's disease nos of lymph nodes of head, face and neck",C81
B61z200,59755,hodgkin's disease nos of intrathoracic lymph nodes,C81
B61z300,107804,hodgkin's disease nos of intra-abdominal lymph nodes,C81
B61z400,91900,hodgkin's disease nos of lymph nodes of axilla and arm,C81
B61z500,99012,hodgkin's disease nos of lymph nodes inguinal region and leg,C81
B61z700,94279,hodgkin's disease nos of spleen,C81
B61z800,97746,hodgkin's disease nos of lymph nodes of multiple sites,C81
B61zz00,42461,hodgkin's disease nos,C81
B62..00,33333,other malignant neoplasm of lymphoid and histiocytic tissue,C96
B620.00,5179,nodular lymphoma (brill - symmers disease),C82
B620000,66327,nodular lymphoma of unspecified site,C82
B620100,45264,"nodular lymphoma of lymph nodes of head, face and neck",C82
B620200,105203,nodular lymphoma of intrathoracic lymph nodes,C82
B620300,92068,nodular lymphoma of intra-abdominal lymph nodes,C82
B620400,111766,nodular lymphoma of lymph nodes of axilla and upper limb,C82
B620500,94995,nodular lymphoma of lymph nodes of inguinal region and leg,C82
B620800,58082,nodular lymphoma of lymph nodes of multiple sites,C82
B620z00,65701,nodular lymphoma nos,C82
B621.00,12006,mycosis fungoides,C84
B621000,95949,mycosis fungoides of unspecified site,C84
B621300,91674,mycosis fungoides of intra-abdominal lymph nodes,C84
B621400,96379,mycosis fungoides of lymph nodes of axilla and upper limb,C84
B621500,72714,mycosis fungoides of lymph nodes of inguinal region and leg,C84
B621800,95012,mycosis fungoides of lymph nodes of multiple sites,C84
B621z00,38005,mycosis fungoides nos,C84
B622.00,35014,sezary's disease,C84
B622z00,100532,sezary's disease nos,C84
B623.00,44267,malignant histiocytosis,C96
B623000,69497,malignant histiocytosis of unspecified site,C96
B623100,94415,"malignant histiocytosis of lymph nodes head, face and neck",C96
B623300,65642,malignant histiocytosis of intra-abdominal lymph nodes,C96
B623800,110903,malignant histiocytosis of lymph nodes of multiple sites,C96
B623z00,58871,malignant histiocytosis nos,C96
B624.00,27330,leukaemic reticuloendotheliosis,C91
B624.11,5137,leukaemic reticuloendotheliosis,C91
B624.12,87335,hairy cell leukaemia,C91
B624000,65122,leukaemic reticuloendotheliosis of unspecified sites,C91
B624300,65123,leukaemic reticuloend of intra-abdominal lymph nodes,C91
B624z00,73777,leukaemic reticuloendotheliosis nos,C91
B625.00,34926,letterer-siwe disease,C96
B625.11,4870,"histiocytosis x (acute, progressive)",C96
B625200,102158,letterer-siwe disease of intrathoracic lymph nodes,C96
B625800,54083,letterer-siwe disease of lymph nodes of multiple sites,C96
B625z00,47204,letterer-siwe disease nos,C96
B626.00,15036,malignant mast cell tumours,C96
B626000,103900,mast cell malignancy of unspecified site,C96
B626500,100615,mast cell malignancy of lymph nodes inguinal region and leg,C96
B626800,31324,mast cell malignancy of lymph nodes of multiple sites,C96
B626z00,89657,malignant mast cell tumour nos,C96
B627.00,3604,non - hodgkin's lymphoma,C85
B627.11,104391,non-hodgkin lymphoma,C85
B627000,28639,follicular non-hodgkin's small cleaved cell lymphoma,C82
B627100,70842,follicular non-hodg mixed sml cleavd & lge cell lymphoma,C82
B627200,49262,follicular non-hodgkin's large cell lymphoma,C82
B627300,50668,diffuse non-hodgkin's small cell (diffuse) lymphoma,C83
B627400,108182,diffuse non-hodgkin's small cleaved cell (diffuse) lymphoma,C83
B627500,50695,diffuse non-hodgkin mixed sml & lge cell (diffuse) lymphoma,C83
B627600,53551,diffuse non-hodgkin's immunoblastic (diffuse) lymphoma,C83
B627700,17460,diffuse non-hodgkin's lymphoblastic (diffuse) lymphoma,C83
B627800,65180,diffuse non-hodgkin's lymphoma undifferentiated (diffuse),C83
B627900,95715,mucosa-associated lymphoma,C88
B627A00,101114,diffuse non-hodgkin's large cell lymphoma,C83
B627B00,31576,other types of follicular non-hodgkin's lymphoma,C82
B627C00,21549,follicular non-hodgkin's lymphoma,C82
B627C11,17182,follicular lymphoma nos,C82
B627D00,70509,diffuse non-hodgkin's centroblastic lymphoma,C83
B627E00,102594,diffuse large b-cell lymphoma,C83
B627F00,105966,extranod marg zone b-cell lymphom mucosa-assoc lymphoid tiss,C88
B627G00,105038,mediastinal (thymic) large b-cell lymphoma,C83
B627W00,31794,unspecified b-cell non-hodgkin's lymphoma,C85
B627X00,39798,"diffuse non-hodgkin's lymphoma, unspecified",C83
B628.00,104152,follicular lymphoma,C82
B628000,105889,follicular lymphoma grade 1,C82
B628100,105095,follicular lymphoma grade 2,C82
B628200,107166,follicular lymphoma grade 3,C82
B628300,105020,follicular lymphoma grade 3a,C82
B628400,107973,follicular lymphoma grade 3b,C82
B628500,106969,diffuse follicle centre lymphoma,C82
B628600,108719,cutaneous follicle centre lymphoma,C82
B628700,106063,other types of follicular lymphoma,C82
B62A.00,105335,sarcoma of dendritic cells,C96
B62D.00,105083,histiocytic sarcoma,C96
B62E.00,105085,t/nk-cell lymphoma,C84
B62E100,105559,"anaplastic large cell lymphoma, alk-positive",C84
B62E200,105955,"anaplastic large cell lymphoma, alk-negative",C84
B62E300,104862,cutaneous t-cell lymphoma,C84
B62E400,109780,"extranodal nk/t-cell lymphoma, nasal type",C86
B62E500,107949,hepatosplenic t-cell lymphoma,C86
B62E600,105709,enteropathy-associated t-cell lymphoma,C86
B62E700,105925,subcutaneous panniculitic t-cell lymphoma,C86
B62E800,105375,blastic nk-cell lymphoma,C86
B62E900,105636,angioimmunoblastic t-cell lymphoma,C86
B62Ew00,104934,other mature t/nk-cell lymphoma,C84
B62F.00,106884,nonfollicular lymphoma,C83
B62F.11,106867,non-follicular lymphoma,C83
B62F000,104386,small cell b-cell lymphoma,C83
B62F100,104620,mantle cell lymphoma,C83
B62F200,104412,lymphoblastic (diffuse) lymphoma,C83
B62Fy00,111682,other non-follicular lymphoma,C85
B62x.00,17887,malignant lymphoma otherwise specified,C85
B62x000,90201,t-zone lymphoma,C84
B62x100,57737,lymphoepithelioid lymphoma,C84
B62x200,12464,peripheral t-cell lymphoma,C84
B62x400,62437,malignant reticulosis,C85
B62x500,58962,malignant immunoproliferative small intestinal disease,C88
B62x600,95630,true histiocytic lymphoma,C96
B62xX00,44318,oth and unspecif peripheral & cutaneous t-cell lymphomas,C84
B62y.00,12335,malignant lymphoma nos,C85
B62y000,57427,malignant lymphoma nos of unspecified site,C85
B62y100,50696,"malignant lymphoma nos of lymph nodes of head, face and neck",C85
B62y200,72725,malignant lymphoma nos of intrathoracic lymph nodes,C85
B62y300,42579,malignant lymphoma nos of intra-abdominal lymph nodes,C85
B62y400,34089,malignant lymphoma nos of lymph nodes of axilla and arm,C85
B62y500,63105,malignant lymphoma nos of lymph node inguinal region and leg,C85
B62y600,71262,malignant lymphoma nos of intrapelvic lymph nodes,C85
B62y700,60092,malignant lymphoma nos of spleen,C85
B62y800,15504,malignant lymphoma nos of lymph nodes of multiple sites,C85
B62yz00,15027,malignant lymphoma nos,C85
B62z.00,65434,malignant neoplasms of lymphoid and histiocytic tissue nos,C96
B62z000,108037,unspec malig neop lymphoid/histiocytic of unspecified site,C96
B62z100,64427,unspec malig neop lymphoid/histiocytic lymph node head/neck,C96
B62z200,93384,unspec malig neop lymphoid/histiocytic of intrathoracic node,C96
B62z300,103353,unspec malig neop lymphoid/histiocytic intra-abdominal nodes,C96
B62z400,107638,unspec malig neop lymphoid/histiocytic lymph node axilla/arm,C96
B62z500,71609,unspec malig neop lymphoid/histiocytic nodes inguinal/leg,C96
B62z600,109342,unspec malig neop lymphoid/histiocytic of intrapelvic nodes,C96
B62z800,101465,unspec malig neop lymphoid/histiocytic of multiple sites,C96
B62zz00,95792,lymphoid and histiocytic malignancy nos,C96
B630.00,4944,multiple myeloma,C90
B630.11,43552,kahler's disease,C90
B630.12,15211,myelomatosis,C90
B630000,22158,"malignant plasma cell neoplasm, extramedullary plasmacytoma",C90
B630100,19028,solitary myeloma,C90
B630200,21329,plasmacytoma nos,C90
B630300,46042,lambda light chain myeloma,C90
B630400,104418,solitary plasmacytoma,C90
B631.00,39187,plasma cell leukaemia,C90
B64..00,19372,lymphoid leukaemia,C91
B64..11,4222,lymphatic leukaemia,C91
B640.00,4251,acute lymphoid leukaemia,C91
B640000,104325,b-cell acute lymphoblastic leukaemia,C83
B641.00,8625,chronic lymphoid leukaemia,C91
B641.11,27790,chronic lymphatic leukaemia,C91
B641000,104328,b-cell chronic lymphocytic leukaemia,C91
B641011,107017,chronic lymphocytic leukaemia of b-cell type,C91
B641100,107052,clinical stage a chronic lymphocytic leukaemia,C91
B641200,106924,clinical stage b chronic lymphocytic leukaemia,C91
B641300,107163,clinical stage c chronic lymphocytic leukaemia,C91
B642.00,72774,subacute lymphoid leukaemia,C91
B64y.00,49725,other lymphoid leukaemia,C91
B64y100,31586,prolymphocytic leukaemia,C91
B64y200,37461,adult t-cell leukaemia,C91
B64y300,108656,b-cell prolymphocytic leukaemia,C91
B64y400,107643,t-cell prolymphocytic leukaemia,C91
B64y411,111627,prolymphocytic leukaemia of t-cell type,C91
B64y500,104939,adult t-cell lymphoma/leukaemia (htlv-1-associated),C91
B64yz00,38331,other lymphoid leukaemia nos,C91
B64z.00,38914,lymphoid leukaemia nos,C91
B65..00,7176,myeloid leukaemia,C92
B650.00,4413,acute myeloid leukaemia,C92
B651.00,10726,chronic myeloid leukaemia,C92
B651.11,31701,chronic granulocytic leukaemia,C92
B651100,105957,"chronic myeloid leukaemia, bcr/abl positive",C92
B651300,107236,"atypical chronic myeloid leukaemia, bcr/abl negative",C92
B651z00,27520,chronic myeloid leukaemia nos,C92
B652.00,63475,subacute myeloid leukaemia,C92
B653.00,70724,myeloid sarcoma,C92
B653000,52327,chloroma,C92
B653100,39629,granulocytic sarcoma,C92
B654.00,104788,acute myeloblastic leukaemia,C92
B65y100,27664,acute promyelocytic leukaemia,C92
B65yz00,66089,other myeloid leukaemia nos,C92
B65z.00,33344,myeloid leukaemia nos,C92
B66..00,35875,monocytic leukaemia,C93
B66..11,108715,histiocytic leukaemia,C95
B66..12,67700,monoblastic leukaemia,C94
B660.00,19974,acute monocytic leukaemia,C93
B661.00,27458,chronic monocytic leukaemia,C93
B662.00,101606,subacute monocytic leukaemia,C93
B663.00,108424,acute monoblastic leukaemia,C93
B66y.00,99015,other monocytic leukaemia,C93
B66yz00,103645,other monocytic leukaemia nos,C93
B66z.00,93342,monocytic leukaemia nos,C93
B67..00,37272,other specified leukaemia,C94
B670.00,42539,acute erythraemia and erythroleukaemia,C94
B670.11,27340,di guglielmo's disease,C94
B671.00,37468,chronic erythraemia,C94
B672.00,57671,megakaryocytic leukaemia,C94
B672.11,65777,thrombocytic leukaemia,C94
B673.00,65721,mast cell leukaemia,C94
B674.00,50858,acute panmyelosis,C94
B675.00,28276,acute myelofibrosis,C94
B676.00,110838,acute erythroid leukaemia,C94
B677.00,104273,myelodysplastic and myeloproliferative disease,C94
B67y.00,94174,other and unspecified leukaemia,C95
B67y000,72197,lymphosarcoma cell leukaemia,C94
B67yz00,99413,other and unspecified leukaemia nos,C95
B67z.00,30632,other specified leukaemia nos,C94
B68..00,25191,leukaemia of unspecified cell type,C95
B680.00,4072,acute leukaemia nos,C95
B681.00,16416,chronic leukaemia nos,C95
B682.00,54793,subacute leukaemia nos,C95
B68y.00,34692,other leukaemia of unspecified cell type,C95
B68z.00,4250,leukaemia nos,C95
B69..00,20440,myelomonocytic leukaemia,C92
B690.00,61500,acute myelomonocytic leukaemia,C92
B691.00,22050,chronic myelomonocytic leukaemia,C92
B692.00,104475,subacute myelomonocytic leukaemia,C93
B693.00,105069,juvenile myelomonocytic leukaemia,C93
B6y..00,30646,malignant neoplasm lymphatic or haematopoietic tissue os,C96
B6y1.12,110065,osteomyelofibrosis,C94
B6z..00,49301,malignant neoplasm lymphatic or haematopoietic tissue nos,C96
B6z0.00,50290,kaposi's sarcoma of lymph nodes,C46
B911013,5136,choriocarcinoma,C58
B936.11,43312,myeloma - solitary,C90
B936.12,38321,plasmacytoma nos,C90
B93X.00,50569,"neo/uncertn+unknwn behav/lymph,h'matopetc+rel tiss,unspcf",C96
BB02.00,21868,"[m]neoplasm, malignant",C80
BB03.00,3197,"[m]neoplasm, metastatic",C79
BB03.11,6985,[m]secondary neoplasm,C79
BB04.00,22267,"[m]neoplasm, malig, uncertain whether primary or metastatic",C80
BB07.00,8627,"[m]tumour cells, malignant",C80
BB08.00,22156,"[m]malignant tumour, small cell type",C80
BB09.00,24511,"[m]malignant tumour, giant cell type",C80
BB0A.00,32213,"[m]malignant tumour, fusiform cell type",C80
BB12.00,8695,[m]carcinoma nos,C80
BB13.00,3152,"[m]carcinoma, metastatic, nos",C79
BB13.11,9366,[m]secondary carcinoma,C79
BB14.00,16692,[m]carcinomatosis,C80
BB16.00,57336,"[m]epithelioma, malignant",C80
BB17.00,25961,[m]large cell carcinoma nos,C80
BB18.00,21609,"[m]carcinoma, undifferentiated type, nos",C80
BB19.00,12609,"[m]carcinoma, anaplastic type, nos",C80
BB1A.00,26413,[m]pleomorphic carcinoma,C80
BB1B.00,48048,[m]giant cell and spindle cell carcinoma,C80
BB1C.00,35474,[m]giant cell carcinoma,C80
BB1D.00,6966,[m]spindle cell carcinoma,C80
BB1E.00,54276,[m]pseudosarcomatous carcinoma,C80
BB1F.00,69300,[m]polygonal cell carcinoma,C80
BB1G.00,61984,[m]spheroidal cell carcinoma,C80
BB1J.00,9291,[m]small cell carcinoma nos,C80
BB1J.12,66541,[m]round cell carcinoma,C80
BB1K.00,9156,[m]oat cell carcinoma,C34
BB1L.00,67970,"[m]small cell carcinoma, fusiform cell type",C34
BB1M.00,30988,"[m]small cell carcinoma, intermediate cell",C34
BB1N.00,21217,[m]small cell-large cell carcinoma,C34
BB1P.00,106519,[m]non-small cell carcinoma,C34
BB22.00,10541,[m]papillary carcinoma nos,C80
BB24.00,34395,[m]verrucous carcinoma nos,C80
BB24.11,43717,[m]verrucous epidermoid carcinoma,C80
BB24.12,4852,[m]verrucous squamous cell carcinoma,C80
BB26.00,20807,[m]papillary squamous cell carcinoma,C80
BB26.11,67912,[m]papillary epidermoid carcinoma,C80
BB2A.00,1624,[m]squamous cell carcinoma nos,C80
BB2A.11,56600,[m]epidermoid carcinoma nos,C80
BB2A.12,57680,[m]spinous cell carcinoma,C80
BB2A.13,94873,[m]squamous cell carcinoma of skin nos,C44
BB2B.00,24293,"[m]squamous cell carcinoma, metastatic nos",C79
BB2C.00,29787,"[m]squamous cell carcinoma, keratinising type nos",C80
BB2C.11,57513,"[m]epidermoid carcinoma, keratinising type",C80
BB2D.00,59143,"[m]squamous cell carcinoma, large cell, non-keratinising",C80
BB2E.00,41816,"[m]squamous cell carcinoma, small cell, non-keratinising",C80
BB2F.00,45458,"[m]squamous cell carcinoma, spindle cell type",C80
BB2G.00,31004,[m]adenoid squamous cell carcinoma,C80
BB2J.00,33497,"[m]squamous cell carcinoma, microinvasive",C53
BB2M.00,45510,[m]lymphoepithelial carcinoma,C80
BB31.00,3028,[m]basal cell carcinoma nos,C44
BB32.00,59919,[m]multicentric basal cell carcinoma,C44
BB33.00,9885,"[m]basal cell carcinoma, morphoea type",C44
BB34.00,29524,"[m]basal cell carcinoma, fibroepithelial type",C44
BB35.00,35457,[m]basosquamous carcinoma,C44
BB36.00,13574,[m]metatypical carcinoma,C44
BB3C.00,102417,[m]superficial basal cell carcinoma,C44
BB3D.00,102547,"[m]basal cell carcinoma, nodular",C44
BB3E.00,103440,"[m]basal cell carcinoma, micronodular",C44
BB3F.00,103178,"[m]basal cell carcinoma, infiltrative",C44
BB3G.00,103066,[m]pigmented basal cell carcinoma,C44
BB43.00,6436,[m]transitional cell carcinoma nos,C80
BB43.11,12388,[m]urothelial carcinoma,C80
BB46.00,100111,[m]schneiderian carcinoma,C30
BB47.00,58798,"[m]transitional cell carcinoma, spindle cell type",C80
BB48.00,38454,[m]basaloid carcinoma,C21
BB49.00,65216,[m]cloacogenic carcinoma,C21
BB4A.00,9712,[m]papillary transitional cell carcinoma,C80
BB4B.00,101095,[m]grade 1 (stage pta) papillary urothelial/transit cell ca,C68
BB4C.00,102244,[m]grade 2 (stage pta) papillary urothelial/transit cell ca,C68
BB4D.00,101978,[m]grade 3 (stage pta) papillary urothelial/transit cell ca,C68
BB5..11,2272,[m]adenocarcinomas,C80
BB52.00,8930,[m]adenocarcinoma nos,C80
BB52000,44778,[m]adenocarcinoma in tubulovillous adenoma,C80
BB53.00,5455,"[m]adenocarcinoma, metastatic, nos",C79
BB54.00,48223,[m]scirrhous adenocarcinoma,C80
BB55.00,27440,[m]linitis plastica,C16
BB56.00,71895,[m]superficial spreading adenocarcinoma,C80
BB57.00,28272,"[m]adenocarcinoma, intestinal type",C16
BB58.00,59240,"[m]carcinoma, diffuse type",C16
BB5B100,63102,[m]islet cell carcinoma,C25
BB5B300,95609,"[m]insulinoma, malignant",C25
BB5B500,32294,"[m]glucagonoma, malignant",C25
BB5B600,98825,[m]mixed islet cell and exocrine adenocarcinoma,C25
BB5C100,49629,"[m]gastrinoma, malignant",C25
BB5D.11,70516,[m]biliary tract adenomas and adenocarcinomas,C24
BB5D100,8711,[m]cholangiocarcinoma,C22
BB5D111,40438,[m]bile duct carcinoma,C24
BB5D300,41313,[m]bile duct cystadenocarcinoma,C22
BB5D500,40240,[m]hepatocellular carcinoma nos,C22
BB5D512,26814,"[m]hepatoma, malignant",C22
BB5D513,25641,[m]liver cell carcinoma,C22
BB5D700,107299,[m]combined hepatocellular carcinoma and cholangiocarcinoma,C22
BB5D711,110147,[m]hepatocholangiocarcinoma,C22
BB5D800,46771,"[m]hepatocellular carcinoma, fibrolamellar",C22
BB5F.00,98781,[m]trabecular adenocarcinoma,C80
BB5J.00,33775,[m]adenoid cystic carcinoma,C80
BB5J.11,34879,[m]cylindroid adenocarcinoma,C80
BB5J.12,60756,[m]cylindroid bronchial adenoma,C34
BB5K.00,50140,[m]cribriform carcinoma,C80
BB5L100,52326,[m]adenocarcinoma in adenomatous polyp,C80
BB5L300,73434,[m]adenocarcinoma in multiple adenomatous polyps,C80
BB5M100,60045,[m]tubular adenocarcinoma,C80
BB5N100,73275,[m]adenocarcinoma in adenomatous polposis coli,C18
BB5P.00,94083,[m]solid carcinoma nos,C80
BB5R100,34110,"[m]carcinoid tumour, malignant",C80
BB5R111,23081,[m]carcinoid bronchial adenoma,C34
BB5R300,111172,"[m]carcinoid tumour, argentaffin, malignant",C26
BB5R500,100625,"[m]carcinoid tumour, nonargentaffin, malignant",C80
BB5R600,55468,"[m]mucocarcinoid tumour, malignant",C18
BB5R611,69210,[m]goblet cell tumour,C80
BB5R800,56794,[m]adenocarcinoid tumour,C80
BB5R900,26253,[m]neuroendocrine carcinoma,C80
BB5RA00,32641,[m]merkel cell carcinoma,C44
